model,rmse,mae,r2,improvement_rmse,improvement_mae
SARIMA,0.006724302866636199,0.005509935630093055,-3.8209435561032654,0.0,0.0
"Hybrid(lgbm, w=0.35)",0.0038609961183611314,0.0038459477161819633,-0.5894111106738178,42.58146613951408,30.199770480494507
