feature,importance
vyo,30
residual_lag_1,25
sisnthick,20
year,19
10v,17
residual_lag_2,17
sp,15
vxo,14
2t,11
sithick,10
snswrf,9
sssn,7
10u,7
tprate,7
ao,6
month_sin,6
sdlwrf,3
sdswrf,3
skt,1
tp,0
month_cos,0
