model,rmse,mae,r2,improvement_rmse,improvement_mae
SARIMA,0.07498248115341298,0.05089044153629878,0.9275350228534402,0.0,0.0
Hybrid(rf),0.08178266514152724,0.05677688146639837,0.9137952763257204,-9.069030370175653,-11.566887125357237
