model,rmse,mae,r2,improvement_rmse,improvement_mae
SARIMA,0.006724302866636199,0.005509935630093055,-3.8209435561032654,0.0,0.0
"Hybrid(xgb, w=0.50)",0.0048239133097755,0.004696026955579247,-1.481055638802287,28.26151044281204,14.771654864143347
