feature,importance
sssn,0.25141966
year,0.12273833
residual_lag_1,0.09692404
residual_lag_2,0.06975407
vyo,0.04322435
skt,0.040609553
sisnthick,0.03476218
tprate,0.030177647
sithick,0.028947918
tp,0.02831825
month_sin,0.027820699
ao,0.027178092
10v,0.026578149
snswrf,0.025203634
sp,0.024853403
2t,0.023674708
vxo,0.023068678
month_cos,0.020583246
10u,0.020546343
sdlwrf,0.019939894
sdswrf,0.013677072
