feature,importance
sssn,0.4436817
residual_lag_1,0.18556087
month_sin,0.046013307
vyo,0.035893384
sisnthick,0.03441635
10v,0.032290302
residual_lag_2,0.028100878
2t,0.027482694
sithick,0.02670022
10u,0.023987934
ao,0.019347703
sdlwrf,0.018047499
sdswrf,0.017268281
vxo,0.014249707
year,0.012705671
sp,0.011792996
tprate,0.010703791
snswrf,0.0076717734
skt,0.0036287815
month_cos,0.0004561098
tp,0.0
