,forecast,lower_ci,upper_ci
2024-01-01,0.996228968169388,0.8728992034191042,1.1195587329196717
2024-02-01,1.0020239805953737,0.8276131174375098,1.1764348437532377
2024-03-01,0.9965078510090306,0.7829005770186959,1.2101151249993654
2024-04-01,0.9966161083271796,0.7499645609659422,1.243267655688417
2024-05-01,0.9518761830489734,0.6761119646851625,1.2276404014127842
2024-06-01,0.8126801087141736,0.5105959773138065,1.1147642401145408
2024-07-01,0.522658908857037,0.19637108996392372,0.8489467277501503
2024-08-01,0.20875978803959572,-0.140056293975176,0.5575758700543674
2024-09-01,0.13663319047102837,-0.23334191326738093,0.5066082942094376
2024-10-01,0.46761465908753075,0.07762684427742983,0.8576024738976317
2024-11-01,0.8899420799642715,0.48091956956359894,1.2989645903649443
2024-12-01,0.9831476603962497,0.5559377209887271,1.4103575998037723
