,forecast,lower_ci,upper_ci
2014-02-01,0.9828262163062373,0.8643298562846343,1.1013225763278403
2014-03-01,0.981242369780349,0.822473472709968,1.14001126685073
2014-04-01,0.9809079801696313,0.8068681845374903,1.1549477758017723
2014-05-01,0.943682433005609,0.7631192718893418,1.124245594121876
2014-06-01,0.8097549893890037,0.6262995154868352,0.9932104632911722
2014-07-01,0.5675819941465002,0.38282507684459544,0.752338911448405
2014-08-01,0.3340069945161144,0.14866075107962679,0.519353237952602
2014-09-01,0.3388855300773094,0.1532716743187645,0.5244993858358543
2014-10-01,0.5486464154375891,0.362910883544706,0.7343819473304721
2014-11-01,0.899661894838837,0.7138710084085957,1.0854527812690782
2014-12-01,0.9657832173756327,0.7799671417732315,1.1515992929780339
2015-01-01,0.975545477594641,0.7897179384099804,1.1613730167793017
2015-02-01,0.9775047893721184,0.7873549390562709,1.167654639687966
2015-03-01,0.9767381314107716,0.7832758693156721,1.1702003935058711
2015-04-01,0.9769529473978972,0.7820016771016687,1.1719042176941257
2015-05-01,0.9402042234101693,0.744578983786416,1.1358294630339227
2015-06-01,0.806911093349596,0.6109798641302555,1.0028423225689365
2015-07-01,0.5656022198866798,0.36953187755561473,0.7616725622177449
2015-08-01,0.33281186742812047,0.13667824040094717,0.5289454944552938
2015-09-01,0.33775301016467396,0.1415905858516547,0.5339154344776932
2015-10-01,0.5469629366545808,0.35078740664884217,0.7431384666603196
2015-11-01,0.8970048075064978,0.7008233127310326,1.093186302281963
2015-12-01,0.9629596888994124,0.7667754793174157,1.159143898481409
2016-01-01,0.9727097751392412,0.7765243300648894,1.168895220213593
2016-02-01,0.9746741667163168,0.7745954907403501,1.1747528426922835
2016-03-01,0.9739169362023398,0.7708130538226847,1.1770208185819948
2016-04-01,0.9741360092143349,0.7696700252733422,1.1786019931553275
2016-05-01,0.9374961543836363,0.7324132053831984,1.1425791033840742
2016-06-01,0.8045882001519911,0.5992250531397985,1.0099513471641837
2016-07-01,0.5639741149596906,0.35848356226849987,0.7694646676508814
2016-08-01,0.33185358971148127,0.12630507444179112,0.5374021049811715
2016-09-01,0.3367812175409851,0.13120632599969842,0.5423561090822718
2016-10-01,0.545390533811571,0.3398036382236228,0.7509774293995192
2016-11-01,0.8944270282191771,0.6888346692181818,1.1000193872201725
2016-12-01,0.9601926273649644,0.754597781738091,1.1657874729918378
2017-01-01,0.9699148422792844,0.7643188650069049,1.175510819551664
2017-02-01,0.9718736852772856,0.7625821140409232,1.181165256513648
2017-03-01,0.9711186945541512,0.7589506244760794,1.1832867646322232
2017-04-01,0.9713371814935908,0.7578727079580393,1.1848016550291423
2017-05-01,0.9348026238979101,0.7207506920780082,1.148854555717812
2017-06-01,0.8022765400968455,0.5879577597206824,1.0165953204730085
2017-07-01,0.5623537636196904,0.347913637014945,0.7767938902244358
2017-08-01,0.3309001403663048,0.11640480572568848,0.5453954750069211
2017-09-01,0.33581361694934264,0.12129315906106145,0.5503340748376239
2017-10-01,0.5438235930804127,0.32929170131332286,0.7583554848475026
2017-11-01,0.8918572922337173,0.677320196535331,1.1063943879321037
2017-12-01,0.9574339456275566,0.7428944814002055,1.1719734098549077
2018-01-01,0.9671282294228996,0.7525876872943092,1.1816687715514897
2018-02-01,0.9690814454207213,0.7510170125310511,1.1871458783103914
2018-03-01,0.9683286243919578,0.7475176973148316,1.189139551469084
2018-04-01,0.9685464839935696,0.7464967387132971,1.190596229273842
2018-05-01,0.9321168921335484,0.7095055813665758,1.154728202900521
2018-06-01,0.7999715620833461,0.577105123215097,1.0228380009515952
2018-07-01,0.5607380949711672,0.3377556311442647,0.7837205587980698
2018-08-01,0.32994944877488397,0.10691419614369321,0.5529847014060747
2018-09-01,0.33484880876602086,0.11178953343309109,0.5579080840989507
2018-10-01,0.5422611626398909,0.319190954224347,0.7653313710554348
2018-11-01,0.8892949448840004,0.6662197604503342,1.1123701293176667
2018-12-01,0.9546831935325831,0.7316057442996521,1.1777606427655143
2019-01-01,0.9643496252128337,0.7412711452846712,1.1874281051409963
2019-02-01,0.9662972295381737,0.7398469838579482,1.192747475218399
2019-03-01,0.9655465714041629,0.7364654369703574,1.1946277058379684
2019-04-01,0.9657638050884764,0.7354951748168688,1.196032435360084
2019-05-01,0.9294388771350871,0.6986317810377061,1.1602459732324681
2019-06-01,0.7976732067387947,0.5666214433375172,1.0287249701400722
2019-07-01,0.559127068456617,0.3279640304207583,0.7902901064924757
2019-08-01,0.3290014887284556,0.09778782174615575,0.5602151557107554
2019-09-01,0.3338867726319471,0.10265006554161277,0.5651234797222815
2019-10-01,0.5407032212090317,0.3094560281673625,0.7719504142507009
2019-11-01,0.8867399593272385,0.6554879937593832,1.1179919248950938
2019-12-01,0.9519403445097351,0.7206862067578855,1.1831944822615845
2020-01-01,0.961579004084254,0.7303238777852266,1.1928341303832815
2020-02-01,0.9635210128522484,0.7290301982615451,1.1980118274429516
2020-03-01,0.9627725113938618,0.7257545416403128,1.1997904811474107
2020-04-01,0.9629891209557715,0.7248297959924248,1.2011484459191182
2020-05-01,0.9267685562024736,0.6880915505329209,1.1654455618720263
2020-06-01,0.7953814546787797,0.5564691979578981,1.0342937113996615
2020-07-01,0.5575206704980046,0.3185014158727918,0.7965399251232174
2020-08-01,0.328056252216595,0.08898831332418972,0.5671241911090004
2020-09-01,0.3329275004732183,0.09383740620599543,0.5720175947404411
