feature,importance
sssn,0.27852333
year,0.11588392
residual_lag_1,0.09265828
residual_lag_2,0.0688457
sisnthick,0.047139507
vyo,0.039991125
sithick,0.03807487
skt,0.031670734
snswrf,0.026986277
ao,0.026756495
10v,0.026645074
tp,0.024179976
sp,0.023869216
tprate,0.023267865
month_sin,0.023145376
month_cos,0.021455573
10u,0.020393878
2t,0.019764438
vxo,0.019020524
sdlwrf,0.017018177
sdswrf,0.014709688
