model,rmse,mae,r2,improvement_rmse,improvement_mae
SARIMA,0.07498248115341298,0.05089044153629878,0.9275350228534402,0.0,0.0
Hybrid(xgb),0.07776761488645964,0.05499800202951793,0.9220517975540716,-3.714379265935893,-8.071379161230773
