date,전체 눈덮임 비율(%),보퍼트 해 눈덮임 비율(%)
1971-09-20,2.0919421487603307,23.52941176470588
1971-09-27,2.8731921487603307,23.52941176470588
1971-10-04,5.06198347107438,23.52941176470588
1971-10-11,6.443698347107437,23.52941176470588
1971-10-18,7.580061983471074,23.52941176470588
1971-10-25,9.116735537190083,23.52941176470588
1971-11-01,9.15547520661157,23.52941176470588
1971-11-08,10.795454545454545,23.52941176470588
1971-11-15,11.75103305785124,23.52941176470588
1971-11-22,13.119834710743802,23.52941176470588
1971-11-29,14.256198347107437,23.52941176470588
1971-12-06,15.534607438016529,23.52941176470588
1971-12-13,16.128615702479337,23.52941176470588
1971-12-20,16.65805785123967,23.52941176470588
1971-12-27,17.44576446280992,23.52941176470588
1972-01-03,17.729855371900825,23.52941176470588
1972-01-10,17.574896694214875,23.52941176470588
1972-01-17,17.34245867768595,23.52941176470588
1972-01-24,17.923553719008265,23.52941176470588
1972-01-31,19.382747933884296,23.52941176470588
1972-02-07,19.834710743801654,23.52941176470588
1972-02-14,20.22210743801653,23.52941176470588
1972-02-21,19.318181818181817,23.52941176470588
1972-02-28,16.554752066115704,23.52941176470588
1972-03-06,15.986570247933884,23.52941176470588
1972-03-13,16.270661157024794,23.52941176470588
1972-03-20,14.527376033057852,23.52941176470588
1972-03-27,14.785640495867769,23.52941176470588
1972-04-03,14.927685950413222,23.52941176470588
1972-04-10,13.791322314049587,23.52941176470588
1972-04-17,11.583161157024794,23.52941176470588
1972-04-24,9.72365702479339,23.52941176470588
1972-05-01,9.129648760330578,23.52941176470588
1972-05-08,8.574380165289258,23.52941176470588
1972-05-15,7.541322314049586,23.52941176470588
1972-05-22,5.410640495867768,23.52941176470588
1972-05-29,6.211260330578512,23.52941176470588
1972-06-05,5.8884297520661155,23.52941176470588
1972-06-12,4.726239669421488,23.52941176470588
1972-06-19,3.6673553719008267,23.52941176470588
1972-06-26,2.7505165289256195,23.52941176470588
1972-07-03,2.31146694214876,23.52941176470588
1972-07-10,1.9111570247933882,17.647058823529413
1972-07-17,1.7303719008264464,5.88235294117647
1972-07-24,1.6141528925619832,5.88235294117647
1972-07-31,1.6270661157024795,5.88235294117647
1972-08-07,1.381714876033058,8.823529411764707
1972-08-14,1.485020661157025,8.823529411764707
1972-08-21,1.859504132231405,20.588235294117645
1972-08-28,1.6012396694214874,5.88235294117647
1972-09-04,1.3558884297520661,8.823529411764707
1972-09-11,1.4333677685950414,8.823529411764707
1972-09-18,2.37603305785124,23.52941176470588
1972-09-25,3.4736570247933884,23.52941176470588
1972-10-02,5.0490702479338845,23.52941176470588
1972-10-09,5.410640495867768,23.52941176470588
1972-10-16,6.3533057851239665,23.52941176470588
1972-10-23,8.819731404958677,23.52941176470588
1972-10-30,10.356404958677686,23.52941176470588
1972-11-06,11.28615702479339,23.52941176470588
1972-11-13,12.422520661157025,23.52941176470588
1972-11-20,13.326446280991735,23.52941176470588
1972-11-27,13.959194214876034,23.52941176470588
1972-12-04,15.870351239669422,23.52941176470588
1972-12-11,18.285123966942148,23.52941176470588
1972-12-18,16.96797520661157,23.52941176470588
1972-12-25,16.96797520661157,23.52941176470588
1973-01-01,16.23192148760331,23.52941176470588
1973-01-08,18.091425619834713,23.52941176470588
1973-01-15,16.477272727272727,23.52941176470588
1973-01-22,17.019628099173552,23.52941176470588
1973-01-29,18.892045454545457,23.52941176470588
1973-02-05,18.298037190082646,23.52941176470588
1973-02-12,18.078512396694215,23.52941176470588
1973-02-19,17.729855371900825,23.52941176470588
1973-02-26,17.574896694214875,23.52941176470588
1973-03-05,16.361053719008265,23.52941176470588
1973-03-12,15.960743801652894,23.52941176470588
1973-03-19,16.541838842975206,23.52941176470588
1973-03-26,14.837293388429751,23.52941176470588
1973-04-02,11.324896694214875,23.52941176470588
1973-04-09,13.66219008264463,23.52941176470588
1973-04-16,12.797004132231404,23.52941176470588
1973-04-23,11.505681818181818,23.52941176470588
1973-04-30,8.174070247933884,23.52941176470588
1973-05-07,8.25154958677686,23.52941176470588
1973-05-14,8.135330578512397,23.52941176470588
1973-05-21,7.851239669421488,23.52941176470588
1973-05-28,6.753615702479339,23.52941176470588
1973-06-04,4.829545454545454,23.52941176470588
1973-06-11,4.4421487603305785,23.52941176470588
1973-06-18,4.881198347107437,17.647058823529413
1973-06-25,3.6931818181818183,23.52941176470588
1973-07-02,3.422004132231405,23.52941176470588
1973-07-09,2.4018595041322315,14.705882352941178
1973-07-16,1.485020661157025,0.0
1973-07-23,1.6528925619834711,0.0
1973-07-30,1.368801652892562,0.0
1973-08-06,1.3300619834710745,5.88235294117647
1973-08-13,1.4204545454545454,8.823529411764707
1973-08-20,1.162190082644628,20.588235294117645
1973-08-27,1.265495867768595,23.52941176470588
1973-09-03,1.0459710743801653,5.88235294117647
1973-09-10,1.1234504132231407,5.88235294117647
1973-09-17,1.1363636363636365,5.88235294117647
1973-09-24,2.0919421487603307,23.52941176470588
1973-10-01,3.8610537190082646,23.52941176470588
1973-10-08,4.7004132231404965,23.52941176470588
1973-10-15,5.12654958677686,17.647058823529413
1973-10-22,5.591425619834711,23.52941176470588
1973-10-29,8.664772727272728,23.52941176470588
1973-11-05,11.027892561983471,23.52941176470588
1973-11-12,13.791322314049587,23.52941176470588
1973-11-19,14.566115702479337,23.52941176470588
1973-11-26,14.023760330578513,23.52941176470588
1973-12-03,15.431301652892563,23.52941176470588
1973-12-10,15.99948347107438,23.52941176470588
1973-12-17,15.663739669421487,23.52941176470588
1973-12-24,17.71694214876033,23.52941176470588
1973-12-31,17.652376033057852,23.52941176470588
1974-01-07,17.768595041322314,23.52941176470588
1974-01-14,17.704028925619834,23.52941176470588
1974-01-21,17.44576446280992,23.52941176470588
1974-01-28,17.135847107438014,23.52941176470588
1974-02-04,18.078512396694215,23.52941176470588
1974-02-11,17.910640495867767,23.52941176470588
1974-02-18,17.019628099173552,23.52941176470588
1974-02-25,16.8775826446281,23.52941176470588
1974-03-04,15.702479338842975,23.52941176470588
1974-03-11,15.405475206611571,23.52941176470588
1974-03-18,14.81146694214876,23.52941176470588
1974-03-25,14.152892561983471,23.52941176470588
1974-04-01,13.545971074380164,23.52941176470588
1974-04-08,12.616219008264462,23.52941176470588
1974-04-15,11.415289256198346,23.52941176470588
1974-04-22,11.014979338842975,23.52941176470588
1974-04-29,9.684917355371901,23.52941176470588
1974-05-06,9.323347107438016,23.52941176470588
1974-05-13,9.659090909090908,23.52941176470588
1974-05-20,7.747933884297521,23.52941176470588
1974-05-27,7.283057851239668,23.52941176470588
1974-06-03,6.1208677685950414,23.52941176470588
1974-06-10,4.7004132231404965,23.52941176470588
1974-06-17,5.255681818181818,23.52941176470588
1974-06-24,3.021694214876033,23.52941176470588
1974-07-01,2.1177685950413223,8.823529411764707
1974-07-08,2.259814049586777,17.647058823529413
1974-07-15,1.665805785123967,17.647058823529413
1974-07-22,1.3429752066115703,5.88235294117647
1974-07-29,1.2138429752066116,0.0
1974-08-05,1.8336776859504134,20.588235294117645
1974-08-12,1.4979338842975207,0.0
1974-08-19,1.1234504132231407,0.0
1974-08-26,1.2396694214876034,11.76470588235294
1974-09-02,0.8522727272727272,8.823529411764707
1974-09-09,1.0201446280991737,5.88235294117647
1974-09-16,1.0201446280991737,5.88235294117647
1974-09-23,1.4333677685950414,14.705882352941178
1974-09-30,2.15650826446281,14.705882352941178
1974-10-07,4.132231404958678,23.52941176470588
1974-10-14,5.216942148760331,23.52941176470588
1974-10-21,8.264462809917356,23.52941176470588
1974-10-28,8.40650826446281,23.52941176470588
1974-11-04,8.419421487603305,23.52941176470588
1974-11-11,9.607438016528926,23.52941176470588
1974-11-18,10.550103305785125,23.52941176470588
1974-11-25,12.241735537190083,23.52941176470588
1974-12-02,13.494318181818182,23.52941176470588
1974-12-09,13.946280991735538,23.52941176470588
1974-12-16,14.088326446280991,23.52941176470588
1974-12-23,14.96642561983471,23.52941176470588
1974-12-30,15.405475206611571,23.52941176470588
1975-01-06,16.619318181818183,23.52941176470588
1975-01-13,16.516012396694215,23.52941176470588
1975-01-20,17.897727272727273,23.52941176470588
1975-01-27,17.16167355371901,23.52941176470588
1975-02-03,16.735537190082646,23.52941176470588
1975-02-10,17.1875,23.52941176470588
1975-02-17,17.08419421487603,23.52941176470588
1975-02-24,17.21332644628099,23.52941176470588
1975-03-03,16.219008264462808,23.52941176470588
1975-03-10,16.089876033057852,23.52941176470588
1975-03-17,15.482954545454545,23.52941176470588
1975-03-24,14.914772727272727,23.52941176470588
1975-03-31,14.914772727272727,23.52941176470588
1975-04-07,13.287706611570249,23.52941176470588
1975-04-14,12.009297520661157,23.52941176470588
1975-04-21,11.15702479338843,23.52941176470588
1975-04-28,10.511363636363637,23.52941176470588
1975-05-05,9.710743801652892,23.52941176470588
1975-05-12,7.489669421487603,23.52941176470588
1975-05-19,6.534090909090909,23.52941176470588
1975-05-26,6.1466942148760335,23.52941176470588
1975-06-02,5.707644628099173,23.52941176470588
1975-06-09,5.5139462809917354,23.52941176470588
1975-06-16,3.886880165289256,23.52941176470588
1975-06-23,3.3057851239669422,23.52941176470588
1975-06-30,2.4664256198347108,5.88235294117647
1975-07-07,2.363119834710744,0.0
1975-07-14,1.8465909090909092,0.0
1975-07-21,1.2525826446280992,0.0
1975-07-28,1.2913223140495869,2.941176470588235
1975-08-04,1.2913223140495869,2.941176470588235
1975-08-11,1.1492768595041323,0.0
1975-08-18,1.0976239669421488,5.88235294117647
1975-08-25,0.9426652892561983,5.88235294117647
1975-09-01,1.0459710743801653,5.88235294117647
1975-09-08,1.2138429752066116,23.52941176470588
1975-09-15,1.4075413223140496,20.588235294117645
1975-09-22,2.0919421487603307,23.52941176470588
1975-09-29,2.453512396694215,23.52941176470588
1975-10-06,4.571280991735537,23.52941176470588
1975-10-13,5.0490702479338845,23.52941176470588
1975-10-20,5.449380165289256,23.52941176470588
1975-10-27,6.973140495867769,23.52941176470588
1975-11-03,7.9416322314049586,23.52941176470588
1975-11-10,8.62603305785124,23.52941176470588
1975-11-17,11.169938016528926,23.52941176470588
1975-11-24,12.448347107438016,23.52941176470588
1975-12-01,14.139979338842975,23.52941176470588
1975-12-08,14.243285123966942,23.52941176470588
1975-12-15,15.650826446280991,23.52941176470588
1975-12-22,16.81301652892562,23.52941176470588
1975-12-29,17.006714876033058,23.52941176470588
1976-01-05,16.851756198347108,23.52941176470588
1976-01-12,17.897727272727273,23.52941176470588
1976-01-19,17.006714876033058,23.52941176470588
1976-01-26,16.955061983471072,23.52941176470588
1976-02-02,17.4974173553719,23.52941176470588
1976-02-09,17.355371900826448,23.52941176470588
1976-02-16,17.1875,23.52941176470588
1976-02-23,16.8775826446281,23.52941176470588
1976-03-01,16.567665289256198,23.52941176470588
1976-03-08,16.528925619834713,23.52941176470588
1976-03-15,15.805785123966942,23.52941176470588
1976-03-22,15.741219008264462,23.52941176470588
1976-03-29,14.12706611570248,23.52941176470588
1976-04-05,13.610537190082644,23.52941176470588
1976-04-12,11.68646694214876,23.52941176470588
1976-04-19,10.575929752066116,23.52941176470588
