Date, AO  missing value -999 https://psl.noaa.gov/data/timeseries/month/
10/1/1973,0.337
11/1/1973,0.002
12/1/1973,-0.181
1/1/1974,0.232
2/1/1974,-0.489
3/1/1974,-0.746
4/1/1974,0.309
5/1/1974,-0.507
6/1/1974,-0.048
7/1/1974,0.39
8/1/1974,-0.533
9/1/1974,-0.136
10/1/1974,-1.024
11/1/1974,-0.435
12/1/1974,0.556
1/1/1975,1.595
2/1/1975,0.194
3/1/1975,0.151
4/1/1975,0.409
5/1/1975,-0.614
6/1/1975,-0.323
7/1/1975,0.345
8/1/1975,0.13
9/1/1975,1.278
10/1/1975,0.138
11/1/1975,0.619
12/1/1975,1.29
1/1/1976,0.034
2/1/1976,1.656
3/1/1976,0.587
4/1/1976,0.44
5/1/1976,0.06
6/1/1976,0.328
7/1/1976,-0.325
8/1/1976,0.559
9/1/1976,-0.743
10/1/1976,-0.804
11/1/1976,-0.087
12/1/1976,-2.074
1/1/1977,-3.767
2/1/1977,-2.01
3/1/1977,0.344
4/1/1977,1.329
5/1/1977,0.104
6/1/1977,-0.226
7/1/1977,-0.492
8/1/1977,-1.412
9/1/1977,0.586
10/1/1977,-0.009
11/1/1977,0.605
12/1/1977,-0.24
1/1/1978,-0.347
2/1/1978,-3.014
3/1/1978,0.502
4/1/1978,-0.967
5/1/1978,0.059
6/1/1978,0.635
7/1/1978,-0.604
8/1/1978,-0.354
9/1/1978,-0.099
10/1/1978,0.895
11/1/1978,2.47
12/1/1978,-0.98
1/1/1979,-2.233
2/1/1979,-0.697
3/1/1979,-0.814
4/1/1979,-1.157
5/1/1979,-0.25
6/1/1979,0.933
7/1/1979,0.039
8/1/1979,-0.684
9/1/1979,-0.046
10/1/1979,-1.243
11/1/1979,0.475
12/1/1979,1.295
1/1/1980,-2.066
2/1/1980,-0.934
3/1/1980,-1.433
4/1/1980,-0.419
5/1/1980,-1.155
6/1/1980,0.721
7/1/1980,-0.622
8/1/1980,-0.185
9/1/1980,0.313
10/1/1980,-0.521
11/1/1980,-1.361
12/1/1980,-0.057
1/1/1981,-0.116
2/1/1981,-0.332
3/1/1981,-1.645
4/1/1981,0.43
5/1/1981,0.18
6/1/1981,-0.438
7/1/1981,0.561
8/1/1981,-0.244
9/1/1981,-1.04
10/1/1981,-1.167
11/1/1981,-0.188
12/1/1981,-1.216
1/1/1982,-0.883
2/1/1982,0.974
3/1/1982,1.074
4/1/1982,1.454
5/1/1982,-0.209
6/1/1982,-1.18
7/1/1982,0.005
8/1/1982,0.362
9/1/1982,0.558
10/1/1982,-0.211
11/1/1982,0.661
12/1/1982,0.967
1/1/1983,1.359
2/1/1983,-1.806
3/1/1983,-0.567
4/1/1983,-0.738
5/1/1983,-0.441
6/1/1983,0.313
7/1/1983,0.131
8/1/1983,1.098
9/1/1983,0.167
10/1/1983,1.369
11/1/1983,-0.688
12/1/1983,0.186
1/1/1984,0.905
2/1/1984,-0.303
3/1/1984,-2.386
4/1/1984,-0.284
5/1/1984,0.479
6/1/1984,0.007
7/1/1984,0.019
8/1/1984,0.466
9/1/1984,-0.413
10/1/1984,-0.27
11/1/1984,-0.966
12/1/1984,0.446
1/1/1985,-2.806
2/1/1985,-1.44
3/1/1985,0.551
4/1/1985,0.652
5/1/1985,-0.432
6/1/1985,-0.347
7/1/1985,-0.39
8/1/1985,-0.001
9/1/1985,0.114
10/1/1985,1.035
11/1/1985,-1.218
12/1/1985,-1.948
1/1/1986,-0.568
2/1/1986,-2.904
3/1/1986,1.931
4/1/1986,0.103
5/1/1986,0.367
6/1/1986,0.535
7/1/1986,-0.008
8/1/1986,-0.826
9/1/1986,-0.023
10/1/1986,1.425
11/1/1986,0.926
12/1/1986,0.06
1/1/1987,-1.148
2/1/1987,-1.473
3/1/1987,-1.746
4/1/1987,0.387
5/1/1987,0.325
6/1/1987,-0.71
7/1/1987,-0.466
8/1/1987,-0.836
9/1/1987,0.287
10/1/1987,-0.08
11/1/1987,-0.536
12/1/1987,-0.534
1/1/1988,0.265
2/1/1988,-1.066
3/1/1988,-0.197
4/1/1988,-0.561
5/1/1988,-0.846
6/1/1988,0.061
7/1/1988,-0.143
8/1/1988,0.255
9/1/1988,1.039
10/1/1988,0.032
11/1/1988,-0.035
12/1/1988,1.679
1/1/1989,3.106
2/1/1989,3.279
3/1/1989,1.53
4/1/1989,-0.25
5/1/1989,0.889
6/1/1989,0.345
7/1/1989,0.866
8/1/1989,0.551
9/1/1989,0.703
10/1/1989,0.991
11/1/1989,0.034
12/1/1989,-0.644
1/1/1990,1.001
2/1/1990,3.402
3/1/1990,2.99
4/1/1990,1.879
5/1/1990,0.943
6/1/1990,0.304
7/1/1990,-0.296
8/1/1990,-0.18
9/1/1990,-0.21
10/1/1990,0.66
11/1/1990,0.521
12/1/1990,1.277
1/1/1991,0.723
2/1/1991,-0.876
3/1/1991,-0.527
4/1/1991,0.53
5/1/1991,0.486
6/1/1991,-0.115
7/1/1991,-0.188
8/1/1991,0.797
9/1/1991,-0.112
10/1/1991,-0.252
11/1/1991,0.285
12/1/1991,1.613
1/1/1992,0.55
2/1/1992,1.122
3/1/1992,0.984
4/1/1992,-0.521
5/1/1992,1.341
6/1/1992,-0.302
7/1/1992,0.191
8/1/1992,0.535
9/1/1992,-0.64
10/1/1992,-0.366
11/1/1992,0.717
12/1/1992,1.627
1/1/1993,3.495
2/1/1993,0.184
3/1/1993,0.764
4/1/1993,-0.435
5/1/1993,-1.607
6/1/1993,-0.52
7/1/1993,-0.511
8/1/1993,-0.393
9/1/1993,-0.361
10/1/1993,-0.565
11/1/1993,1.002
12/1/1993,-0.104
1/1/1994,-0.288
2/1/1994,-0.862
3/1/1994,1.881
4/1/1994,0.225
5/1/1994,-0.115
6/1/1994,1.606
7/1/1994,0.351
8/1/1994,0.828
9/1/1994,-0.084
10/1/1994,0.174
11/1/1994,1.779
12/1/1994,0.894
1/1/1995,-0.154
2/1/1995,1.429
3/1/1995,0.393
4/1/1995,-0.963
5/1/1995,-0.891
6/1/1995,-0.112
7/1/1995,-0.217
8/1/1995,0.544
9/1/1995,-0.549
10/1/1995,0.075
11/1/1995,-0.723
12/1/1995,-2.127
1/1/1996,-1.2
2/1/1996,0.163
3/1/1996,-1.483
4/1/1996,-1.525
5/1/1996,-0.226
6/1/1996,0.497
7/1/1996,0.715
8/1/1996,0.125
9/1/1996,-1.14
10/1/1996,0.183
11/1/1996,0.136
12/1/1996,-1.721
1/1/1997,-0.457
2/1/1997,1.889
3/1/1997,1.091
4/1/1997,0.324
5/1/1997,-0.961
6/1/1997,-0.815
7/1/1997,-0.431
8/1/1997,0.121
9/1/1997,0.195
10/1/1997,-0.7
11/1/1997,-0.661
12/1/1997,-0.071
1/1/1998,-2.081
2/1/1998,-0.183
3/1/1998,-0.254
4/1/1998,-0.038
5/1/1998,0.429
6/1/1998,-0.711
7/1/1998,-0.212
8/1/1998,0.65
9/1/1998,-1.05
10/1/1998,0.294
11/1/1998,-1.449
12/1/1998,1.353
1/1/1999,0.11
2/1/1999,0.482
3/1/1999,-1.492
4/1/1999,0.284
5/1/1999,0.226
6/1/1999,0.707
7/1/1999,-0.002
8/1/1999,-0.672
9/1/1999,0.059
10/1/1999,-0.006
11/1/1999,0.611
12/1/1999,1.043
1/1/2000,1.27
2/1/2000,1.076
3/1/2000,-0.451
4/1/2000,-0.279
5/1/2000,0.969
6/1/2000,0.586
7/1/2000,-0.649
8/1/2000,0.144
9/1/2000,0.395
10/1/2000,0.317
11/1/2000,-1.581
12/1/2000,-2.354
1/1/2001,-0.959
2/1/2001,-0.622
3/1/2001,-1.687
4/1/2001,0.906
5/1/2001,0.452
6/1/2001,-0.015
7/1/2001,-0.031
8/1/2001,0.521
9/1/2001,-0.707
10/1/2001,0.707
11/1/2001,0.819
12/1/2001,-1.322
1/1/2002,1.381
2/1/2002,1.304
3/1/2002,0.902
4/1/2002,0.748
5/1/2002,0.401
6/1/2002,0.573
7/1/2002,0.328
8/1/2002,-0.229
9/1/2002,-0.043
10/1/2002,-1.489
11/1/2002,-1.425
12/1/2002,-1.592
1/1/2003,-0.472
2/1/2003,0.128
3/1/2003,0.933
4/1/2003,-0.178
5/1/2003,1.017
6/1/2003,-0.102
7/1/2003,0.075
8/1/2003,-0.28
9/1/2003,0.467
10/1/2003,-0.67
