time,residual
1991-01-01,0.978672569680951
1991-02-01,-0.00012149665684180189
1991-03-01,0.008641437345036862
1991-04-01,0.0036076050287882078
1991-05-01,-0.05502768821395765
1991-06-01,-0.02479565378273496
1991-07-01,-0.04597220573768901
1991-08-01,-0.03642319425135976
1991-09-01,-0.046968399464770716
1991-10-01,0.03005654171209815
1991-11-01,0.12034090904636807
1991-12-01,0.04179658661401042
1992-01-01,-0.4888081001837471
1992-02-01,0.0005118220858517653
1992-03-01,-0.005560158602757159
1992-04-01,-0.0038630961166620237
1992-05-01,0.04785663635325965
1992-06-01,-0.023928960781056552
1992-07-01,-0.07478502599474346
1992-08-01,-0.02665670731401726
1992-09-01,0.10568953353784527
1992-10-01,0.10787437591516513
1992-11-01,-0.1133973667884216
1992-12-01,-0.01603770724059883
1993-01-01,-0.016295032546931543
1993-02-01,-0.0024490454871575196
1993-03-01,0.005986168893510113
1993-04-01,0.001991699737276309
1993-05-01,0.005911746963845554
1993-06-01,-0.09895971060981923
1993-07-01,-0.17750130021818955
1993-08-01,-0.04759704613804977
1993-09-01,0.00985726605184728
1993-10-01,0.06337207662963318
1993-11-01,0.20021682194668156
1993-12-01,0.02658275821831435
1994-01-01,0.011309238393454768
1994-02-01,0.009750688992933854
1994-03-01,0.00015155820892920335
1994-04-01,0.004149015382286292
1994-05-01,-0.021338312694332506
1994-06-01,0.07959203089339362
1994-07-01,0.03520503555444898
1994-08-01,-0.10822400049187875
1994-09-01,0.05069956993931557
1994-10-01,0.06732267566580163
1994-11-01,-0.07763913204387107
1994-12-01,-0.014531889744571092
1995-01-01,-0.005826086221916715
1995-02-01,0.0008374894015776846
1995-03-01,-0.004571398157156015
1995-04-01,-0.015058073681299189
1995-05-01,-0.02354718139119516
1995-06-01,-0.014270035423836869
1995-07-01,-0.06899893918651656
1995-08-01,-0.0052121262355350195
1995-09-01,0.03811560914352763
1995-10-01,0.025974044190155254
1995-11-01,0.06607155301417955
1995-12-01,-0.001972933041695435
1996-01-01,8.045558641511796e-05
1996-02-01,-0.005869506834336402
1996-03-01,-0.010229351029511058
1996-04-01,0.007014561106914341
1996-05-01,0.015456611932228692
1996-06-01,-0.0021778271031671625
1996-07-01,0.04450531149750658
1996-08-01,-0.042103186367863255
1996-09-01,0.07616754138153892
1996-10-01,0.037414554276316236
1996-11-01,-0.11220735592851783
1996-12-01,-0.007420323914968274
1997-01-01,0.005682286780023138
1997-02-01,0.004173379550841405
1997-03-01,-0.0055302925134499414
1997-04-01,-0.007008459317461635
1997-05-01,0.031657284857753654
1997-06-01,-0.07040764879355021
1997-07-01,-0.0023923822524064553
1997-08-01,0.02980335710199078
1997-09-01,-0.04474178933291184
1997-10-01,-0.001466733746670057
1997-11-01,0.06190875473444202
1997-12-01,0.006434118509533793
1998-01-01,0.003540461304026188
1998-02-01,-0.0031519727662435715
1998-03-01,-0.013022583854936931
1998-04-01,-0.01880856832463551
1998-05-01,-0.02542085360880264
1998-06-01,-0.14613946929338018
1998-07-01,-0.08376737477755547
1998-08-01,-0.013745878673920076
1998-09-01,-0.08562479364437453
1998-10-01,0.05662013199848842
1998-11-01,0.19159212000739334
1998-12-01,0.09760831450252272
1999-01-01,0.020287959679380463
1999-02-01,0.006328188771243193
1999-03-01,0.005019855217787472
1999-04-01,0.006927322330182117
1999-05-01,0.02244972876288165
1999-06-01,0.02179883202184485
1999-07-01,0.03844066791002554
1999-08-01,-0.18169268240640357
1999-09-01,-0.0529559963820625
1999-10-01,0.22261770196701902
1999-11-01,-0.009982168789107182
1999-12-01,-0.04699375745535617
2000-01-01,-0.012067508820202688
2000-02-01,0.0007985345984853343
2000-03-01,-0.00818003010902002
2000-04-01,0.004636671196816211
2000-05-01,0.03663574499061317
2000-06-01,-0.024068337842618526
2000-07-01,0.06672042221868757
2000-08-01,-0.020267703715975083
2000-09-01,-0.0035426260026555356
2000-10-01,0.023378270715162963
2000-11-01,-0.030080685194879386
2000-12-01,-0.04707450627894505
2001-01-01,-0.002394989506375178
2001-02-01,-0.0033293877346221024
2001-03-01,0.0023973282591247536
2001-04-01,-0.004899431336234938
2001-05-01,0.03017507558357979
2001-06-01,0.05529924535073094
2001-07-01,0.027145976269399852
2001-08-01,0.0113710676073141
2001-09-01,-0.1235568223124569
2001-10-01,0.14149479299083412
2001-11-01,-0.09370725697003579
2001-12-01,-0.04530743477254262
2002-01-01,-0.010036864069939422
2002-02-01,0.003687759935217194
2002-03-01,-0.008415796639246298
2002-04-01,-0.007448032865198684
2002-05-01,0.004517378233444669
2002-06-01,0.060884766788623534
2002-07-01,0.02548870539395831
2002-08-01,-0.10859194838098535
2002-09-01,-0.19551545983806984
2002-10-01,0.18077591131760296
2002-11-01,0.01790496249113649
2002-12-01,-0.011125765245521446
2003-01-01,0.009341479509277995
2003-02-01,0.019522244367550345
2003-03-01,0.0010171118843648186
2003-04-01,-0.0057566110782691915
2003-05-01,0.0047412809490248176
2003-06-01,0.07424919642331973
2003-07-01,-0.09904438363540569
2003-08-01,-0.06410203635846451
2003-09-01,-0.036015618851989895
2003-10-01,0.025091655709041927
2003-11-01,0.07723567411250265
2003-12-01,0.023892744224710882
2004-01-01,0.003226029468471947
2004-02-01,-0.0006496032519696104
2004-03-01,-0.001801177216551486
2004-04-01,0.012892401792302888
2004-05-01,0.015898506337817198
2004-06-01,-0.07749947439908766
2004-07-01,0.0738950791858517
2004-08-01,-0.01844631601440677
2004-09-01,-0.026792494797882094
2004-10-01,0.03161417007808276
2004-11-01,0.04528836905655509
2004-12-01,-0.02125788802051276
2005-01-01,-0.026059552383616347
2005-02-01,0.006276918287821176
2005-03-01,0.0003578635721904755
2005-04-01,0.005340823635201386
2005-05-01,-0.005725003820134855
2005-06-01,0.0042845718937938315
2005-07-01,0.0389889860206144
2005-08-01,0.08201848524790178
2005-09-01,0.09769874728631911
2005-10-01,-0.17895246554237554
2005-11-01,0.007107194914719006
2005-12-01,-0.03384244719021545
2006-01-01,-0.002754931486954715
2006-02-01,-0.024891212983329192
2006-03-01,0.002614959834026487
2006-04-01,0.01053054433580547
2006-05-01,0.011639178667735894
2006-06-01,0.028788049687570094
2006-07-01,0.03723535580422299
2006-08-01,-0.023036524960775795
2006-09-01,-0.06576723443698101
2006-10-01,-0.1212831427819907
2006-11-01,0.11850549614622219
2006-12-01,-0.019343891610596464
2007-01-01,0.01898597218465503
2007-02-01,-0.0062611680823859706
2007-03-01,-0.0016716723145367984
2007-04-01,-0.011905913631439002
2007-05-01,0.013379757350918009
2007-06-01,-0.08999423955223484
2007-07-01,-0.04321573864774453
2007-08-01,0.03694638618684809
2007-09-01,-0.0030176592710807193
2007-10-01,0.0031335376504406653
2007-11-01,0.04659587169269941
2007-12-01,0.028960915695907974
2008-01-01,0.04159191635538251
2008-02-01,-0.0018503553485678115
2008-03-01,0.004105086161324323
2008-04-01,-0.017989428617557146
2008-05-01,-0.022817541658802787
2008-06-01,-0.14350429552807498
2008-07-01,-0.15090130913385186
2008-08-01,0.021205846206368895
2008-09-01,0.07697483945300315
2008-10-01,0.12547213929305762
2008-11-01,0.14657240526290305
2008-12-01,-0.03772578003151039
2009-01-01,-0.011826469683474006
2009-02-01,-0.000653619029839958
2009-03-01,-0.00012886890992958033
2009-04-01,0.0032059721524012597
2009-05-01,0.015917190636830947
2009-06-01,0.02165523127503377
2009-07-01,0.038405980857744604
2009-08-01,-0.07002937347463584
2009-09-01,-0.04208415361890855
2009-10-01,-0.005964030216373928
2009-11-01,0.05712571483430606
2009-12-01,-0.026103881978088106
2010-01-01,0.010193521061003907
2010-02-01,0.008283867078628382
2010-03-01,0.0032791820559774365
2010-04-01,-0.00205893533752477
2010-05-01,0.005144942587136159
2010-06-01,-0.01993556812724684
2010-07-01,-0.04592682642833279
2010-08-01,-0.0005632391302606843
2010-09-01,-0.05698660059284022
2010-10-01,0.11620935527657716
2010-11-01,-0.060658884562216464
2010-12-01,0.07069638703723458
2011-01-01,-0.020440106995913143
2011-02-01,-0.0010486760335669532
2011-03-01,0.010959579485831594
2011-04-01,-0.000436810524917397
2011-05-01,-0.02630461739541423
2011-06-01,0.05713592524810196
2011-07-01,-0.07836571782406088
2011-08-01,-0.020890398196142135
2011-09-01,-0.03588274472335182
2011-10-01,0.004094932853489497
2011-11-01,0.13497533373706527
2011-12-01,-0.013649491807022796
2012-01-01,-0.012110110135624352
2012-02-01,-0.003200772775630467
2012-03-01,-0.0036122545413462825
2012-04-01,0.0032705466289914
2012-05-01,-0.04117198379975706
2012-06-01,-0.0826064776705252
2012-07-01,-0.040780653877773576
2012-08-01,-0.06484181684802805
2012-09-01,0.02942291550568716
2012-10-01,-0.17417383209219167
2012-11-01,0.3117072015861535
2012-12-01,0.07724507350278231
2013-01-01,-0.010087178132807906
2013-02-01,-0.0019739990168043953
2013-03-01,-0.013208527851849672
2013-04-01,0.015679051885850837
2013-05-01,0.016151538067968096
2013-06-01,0.07551951761984621
2013-07-01,0.05268589267303947
2013-08-01,0.046430153861735546
2013-09-01,0.1827590142516714
2013-10-01,-0.26807098445600286
2013-11-01,-0.13484020558835885
2013-12-01,0.005632964070222624
2014-01-01,0.007542685068223198
2014-02-01,0.000872498014678591
2014-03-01,0.004761273059033511
2014-04-01,-0.00786955770707698
2014-05-01,0.006622779621777819
2014-06-01,0.05590982283640944
2014-07-01,-0.002463026456670625
2014-08-01,0.14744833626446496
2014-09-01,-0.08257854096471401
2014-10-01,-0.04778751240269907
2014-11-01,-0.0943471753400803
2014-12-01,0.023332243078020176
2015-01-01,-0.008965167644128025
2015-02-01,0.0036831549900464555
2015-03-01,0.0027875129334644644
2015-04-01,-0.0003134513790469251
2015-05-01,-0.024287459359081054
2015-06-01,-0.008335130084366371
2015-07-01,0.03734650511292115
2015-08-01,-0.0929141146156259
2015-09-01,-0.02774092159001551
2015-10-01,0.17790351469448473
2015-11-01,-0.0056577685206450345
2015-12-01,-0.03842254703898995
2016-01-01,-0.014813189575720642
2016-02-01,0.0007745684773132755
2016-03-01,-0.0029935141794329434
2016-04-01,-0.027521386391103242
2016-05-01,0.0353945254166238
2016-06-01,-0.1638040495826265
2016-07-01,0.0036646211658598604
2016-08-01,0.008588658235119978
2016-09-01,0.0064001797387612525
2016-10-01,-0.11613549292191488
2016-11-01,0.17163461157289872
2016-12-01,0.08470040624486497
2017-01-01,-0.01946858077233382
2017-02-01,0.007568330244377641
2017-03-01,0.0003139724306889802
2017-04-01,0.017533923086751058
2017-05-01,-0.015024758470981836
2017-06-01,0.038084394192117066
2017-07-01,0.009630698473973354
2017-08-01,-0.13121971112128436
2017-09-01,0.008343089497553385
2017-10-01,0.0192997099929067
2017-11-01,-0.0017678736735495804
2017-12-01,0.05480658534867011
2018-01-01,0.004655448969476228
2018-02-01,0.006969628278548412
2018-03-01,0.00014102416516381666
2018-04-01,0.003920406179646951
2018-05-01,0.004761273181936865
2018-06-01,0.0837083034156707
2018-07-01,0.0024686496308955475
2018-08-01,-0.0130200935489041
2018-09-01,0.010594927424325995
2018-10-01,0.01135656491829018
2018-11-01,-0.05856727009167573
2018-12-01,-0.034516557579231666
2019-01-01,-0.0029781275028833987
2019-02-01,-0.02085230994031384
2019-03-01,-0.007376159087769563
2019-04-01,0.014495137265434055
2019-05-01,-0.09056647246977234
2019-06-01,-0.03203048947952014
2019-07-01,0.0466108769168434
2019-08-01,0.044756906243791555
2019-09-01,0.025173914459346136
2019-10-01,-0.11738060968575487
2019-11-01,0.024329478806953575
2019-12-01,0.08990716245818242
2020-01-01,0.021873468114389394
2020-02-01,7.938911918115021e-05
2020-03-01,-0.017622865887531813
2020-04-01,-0.002247169092859158
2020-05-01,0.03833352831138703
2020-06-01,0.09064575017882726
2020-07-01,0.08781228409786535
2020-08-01,-0.049663391479344066
2020-09-01,-0.052456047624354685
2020-10-01,0.10036794313895969
2020-11-01,-0.13157209761235278
2020-12-01,-0.06465998871364853
2021-01-01,-0.0025424337755278748
2021-02-01,0.003123497987995383
2021-03-01,-0.0014700499240555276
2021-04-01,0.004296636559840139
2021-05-01,0.008405611612467001
2021-06-01,0.0609463593405678
2021-07-01,0.1262417992625775
2021-08-01,0.026133374712645263
2021-09-01,-0.12288027591562084
2021-10-01,0.06285872098776013
2021-11-01,-0.1772598098216821
2021-12-01,0.014418461076569966
2022-01-01,-0.002335085484708177
2022-02-01,-0.003994875969902334
2022-03-01,-0.0010926554154609969
2022-04-01,0.008602508669493858
2022-05-01,0.019679646268733086
2022-06-01,0.041350155331652094
2022-07-01,0.07385297706777261
2022-08-01,0.0018265662698482843
2022-09-01,-0.035042938524925016
2022-10-01,-0.06423828458266723
2022-11-01,-0.07014732535253998
2022-12-01,-0.03442040444122718
2023-01-01,0.05369110393433085
2023-02-01,0.007891139294576077
2023-03-01,-0.016632500025771324
2023-04-01,0.009369189736305628
2023-05-01,0.008516223601350625
2023-06-01,0.07122247787278191
2023-07-01,-0.13401438916691266
2023-08-01,-0.019040862384162194
2023-09-01,-0.0030649420789989335
2023-10-01,-0.12901135421957655
2023-11-01,0.19799406744121584
2023-12-01,0.014316804263799887
