time,sisnthick,sithick,so,thetao,vxo,vyo,10u,10v,2t,sdlwrf,sdswrf,snswrf,tprate,sic,skt,sp,tp
1991-01,0.1779733747243881,1.7038981914520264,27.320056915283203,-1.490811229,-0.01321698,-0.027817989,0.3963818031956164,0.1361459208783755,251.34771530923572,197.3428066191833,4.318931463676594,2.045465078093242,1.365433340122079e-05,0.978672569680951,249.23168650648063,94605.48960509032,4.916328361151291e-05
1991-02,0.2101691961288452,1.84918475151062,27.72640609741211,-1.514050722,-0.039828222,-0.009575496,-0.553790089,-0.575897674,250.3477883004204,189.8433788123669,29.51850801796035,14.000189139749352,7.552101543420906e-06,0.9785510730241092,248.5539071149361,93942.27360305036,2.71954861629231e-05
1991-03,0.2182366102933883,2.5238077640533447,28.389915466308597,-1.551830888,-0.008158341,0.0045907376334071,-0.059211582,-0.038153567,256.0086670408704,201.61209555921727,92.75566468226808,42.37647412371479,1.3289716639250649e-05,0.987192510369146,255.10354908711767,93778.45977899256,4.785098401630016e-05
1991-04,0.2603403627872467,3.0287740230560303,28.640111923217773,-1.566098928,-0.010848434,0.0087245814502239,-0.952357794,-0.089430308,267.80266255025555,231.9483968610588,185.65388768632872,92.3995155734135,5.387076058415352e-06,0.9908001153979342,266.8170534442376,94096.47959107402,1.940013579910988e-05
1991-05,0.2024035453796386,3.219204902648926,28.39519500732422,-1.552322149,-0.027086213,0.0157083179801702,-0.739130847,0.1389503708531126,278.28236819633406,274.66423872665683,229.4694888869098,158.73900440701814,1.4869092810743722e-05,0.9357724271839766,277.484523447974,94172.99698712796,5.353272400379288e-05
1991-06,0.0412286557257175,2.784791946411133,25.79431533813477,-1.39764595,-0.012144028,-0.011590515,-0.399185781,-0.207083328,283.73094631551726,303.277899453454,252.99015312244683,204.0346831553903,2.087689420624404e-05,0.9109767734012416,284.21176808197555,94529.50353436424,7.516076861670668e-05
1991-07,0.0029191165231168,2.582363605499268,25.510522842407227,-1.388921499,-0.00305446,-0.01139028,0.0658908902733427,-0.145112536,283.9914502225405,313.4451620025079,207.8850765140041,173.57222900743497,2.908636271456765e-05,0.8650045676635526,284.9578089353404,94522.46206622494,0.0001047139315531
1991-08,0.0048735267482697,2.5732951164245605,26.210289001464844,-1.42274642,0.0449633561074733,-0.025708152,-0.027165769,-0.004655129,280.7992440714917,299.3816078078157,149.50600235832022,122.9200374687574,2.73840613889869e-05,0.8285813734121928,281.07177780128654,94277.10161550554,9.858358971790186e-05
1991-09,0.02541309222579,2.010591983795166,26.418991088867188,-1.427027702,-0.041259956,0.0210177171975374,-1.271951451,-0.055409246,277.1215054003455,286.5456648910257,90.97266038666965,73.87068745041579,1.9923862173882373e-05,0.7816129739474221,276.8426110051134,94274.04268563226,7.173014255053811e-05
1991-10,0.0559895634651184,1.718497395515442,26.99515914916992,-1.469118953,-0.012356847,0.022777272388339,-0.063746534,0.2387810753968787,265.3054910197366,238.0737167598359,39.00221009426938,23.08837170405815,1.6259509904395523e-05,0.8116695156595203,263.9840440830432,94447.81150381875,5.853444986426631e-05
1991-11,0.1147366166114807,1.6978408098220823,27.51051902770996,-1.501756191,-0.028371766,-0.033471804,-0.676482996,-0.75311182,252.4502373840788,190.81944544165847,7.126716050213034,3.732784471798818,8.205529753518396e-06,0.9320104247058884,250.13104384261536,94193.74048769416,2.954511214962576e-05
1991-12,0.1347666680812835,1.905728816986084,27.361373901367188,-1.493586779,-0.004325649,0.0008632609969936,-0.896028786,-0.276386197,249.40107383305465,188.26701844199093,0.8542632947778942,0.3762961886618581,1.0131953436112643e-05,0.9738070113198988,247.3680249004097,93073.91605596693,3.648189071112417e-05
1992-01,0.1565878540277481,2.038539409637451,27.36441993713379,-1.493637085,-0.030834924,-0.002247024,-1.210459802,-0.642189002,250.65691616747424,194.57166135176843,4.198653129283897,2.0463017386618034,1.0265241455590105e-05,0.984349989320748,248.6883792681517,93361.8233025114,3.696102072063084e-05
1992-02,0.1780386418104171,2.291357517242432,27.752899169921875,-1.515855432,-0.019473715,0.0037503775674849,-0.645098892,-0.328325735,249.1488888010305,186.044973170325,28.752998775408955,13.72004729005554,1.0536477795841368e-05,0.984737828190429,247.3255036308549,94291.14296224724,3.7937221347740456e-05
1992-03,0.236862912774086,2.668942928314209,28.41164207458496,-1.55325377,-0.027385738,0.0076715159229934,-0.621165283,0.151822356502735,258.96319500016807,209.7536665872273,93.77430809816715,43.90689059788562,8.448267963205791e-06,0.9879959632117488,257.95996472758384,94006.9212100228,3.042196792178048e-05
1992-04,0.2281346619129181,2.420806407928467,28.57875633239746,-1.562889814,-0.026574533,0.0049778213724493,-0.192067305,-0.576281738,263.429504293474,221.43686298769697,176.6184106850145,82.1394305970962,1.0203843616151652e-05,0.9878143056282056,263.0692535432466,94558.9074049422,3.674416012858474e-05
1992-05,0.2049756050109863,2.375711679458618,28.22929000854492,-1.543018937,0.0351538695394992,-0.020721661,0.7973220380517126,0.3484633105544949,272.1600801674961,253.9617704199724,239.56137911451088,128.50168874337837,1.5176548189376698e-05,0.9795170531375524,271.4615083974029,94463.40532521246,5.4643861859334434e-05
1992-06,0.0380436740815639,2.409018993377685,25.752328872680664,-1.40282011,-0.004624167,0.001089220168069,-0.373121846,0.0354952072976282,283.42486218496305,303.72037609003274,243.3204066537705,193.4178643120488,2.4088419317317844e-05,0.9302849689377172,283.43820931145115,94483.11533464315,8.67234520715677e-05
1992-07,0.0014260216848924,2.0200860500335693,25.558862686157227,-1.343666792,0.0045993779785931,-0.01375833,-0.436142634,-0.130769534,285.6063077132872,316.8626442995108,216.20259832697403,184.52005761536745,2.6375469852432183e-05,0.808586866731844,286.3673688055054,94648.7816082654,9.495324424799116e-05
1992-08,0.0063188578933477,1.5423626899719238,26.197893142700195,-1.222882509,0.0167275294661521,0.0175290275365114,0.0143836105665004,0.7789443137966366,282.6475181617983,309.4284637429319,144.03236295715877,121.91092333219731,2.8246051690903115e-05,0.7447615254498035,282.65684230221,94395.07767202372,0.0001016894684017
1992-09,0.0278866868466138,1.294531226158142,26.54885482788086,-1.291951299,-0.000601531,-0.018870695,0.0389941543693375,-0.627516841,269.44835349732034,247.71442106299563,99.97234572626468,65.29687276410279,1.93905672671021e-05,0.8025214008768752,268.61866990051226,94235.85512797144,6.981245900901117e-05
1992-10,0.0994664952158927,1.4093562364578247,27.10072898864746,-1.47821784,-0.02207532,0.0095029342919588,-0.164251556,0.2043093740543569,262.3980049013028,226.58354298574992,39.89767112356847,18.79338264881072,1.2626279058459042e-05,0.9410674578514218,260.51979483160625,93877.84688568868,4.546119116517551e-05
1992-11,0.1642848849296569,1.4414101839065552,27.50108528137207,-1.501345515,-0.033725817,0.0023731815163046,-0.618175905,0.0352747010039698,256.9466876901304,216.05027524148144,5.573061199686181,2.660003912097717,1.7210414555019893e-05,0.9504739058205884,254.95594146934084,93665.86778805943,6.196503427181734e-05
1992-12,0.1920354664325714,1.815835237503052,27.35602760314941,-1.49318397,-0.021241849,-0.01249128,-0.337548541,0.0634845034418726,249.16589541512897,185.7987055426838,0.8713816809392276,0.3828406491556018,1.1025381498248846e-05,0.977088197145737,246.50243968552903,94151.11328128792,3.969318596672135e-05
1993-01,0.2477479130029678,1.891036868095398,27.35711097717285,-1.493223906,-0.000298822,-0.002195298,0.6749547645820614,0.714656462253467,251.1328650298398,195.7853977057075,4.512160840106457,2.1367931028804,1.82630067872286e-05,0.971551917098482,249.00789982490423,93814.02908201607,6.575731875978167e-05
1993-02,0.2859950959682464,2.14993667602539,27.76189613342285,-1.516109705,-0.024346724,0.0052907150238752,-0.521368084,-0.024784722,253.8801156804008,202.78160023036017,27.93093194870654,13.088167498389923,8.476616165678845e-06,0.9692458722088936,251.9903278438441,94481.17685691356,3.0522966178587e-05
1993-03,0.3138615190982818,2.2716994285583496,28.34735870361328,-1.549601316,-0.00843563,0.0004986161366105,-0.417358063,-0.032271508,259.37268991149574,206.56947102634595,98.17286268247084,46.49572569530029,5.79400970140207e-06,0.98130287720428,258.3067483935127,94062.3813826429,2.0864552325545836e-05
1993-04,0.2935072183609009,2.395622491836548,28.54711151123047,-1.561175823,-0.026513182,0.0101405605673789,-1.664853884,-0.512933487,268.8694498362061,232.38026919677787,187.3210314384914,98.97904068388034,3.789771914165684e-06,0.9850170857123351,268.155512161046,94214.89506047926,1.3649679223008262e-05
1993-05,0.2572256624698639,2.436453104019165,28.22696304321289,-1.543150663,-0.036405928,0.0197181664407253,-1.462690547,-0.59343059,276.645836151159,271.8867493471054,232.37019204480117,153.38401879370883,1.1030972470447449e-05,0.9588266017207724,276.2075231593363,94618.14645171832,3.9718287409092505e-05
