time,sisnthick,sithick,so,thetao,vxo,vyo,10u,10v,2t,sdlwrf,sdswrf,snswrf,tprate,skt,sp,sst,tp
1991-01,0.1779733747243881,1.7038981914520264,27.320056915283203,-1.4908112287521362,-0.0132169798016548,-0.0278179887682199,0.3963818031956164,0.1361459208783755,251.34771530923572,197.3428066191833,4.318931463676594,2.045465078093242,1.365433340122079e-05,249.23168650648063,94605.48960509032,9338.941490096246,4.916328361151291e-05
1991-02,0.2101691961288452,1.84918475151062,27.72640609741211,-1.5140507221221924,-0.0398282222449779,-0.0095754964277148,-0.5537900893770724,-0.5758976738331695,250.3477883004204,189.8433788123669,29.51850801796035,14.000189139749352,7.552101543420906e-06,248.5539071149361,93942.27360305036,9338.94148524857,2.71954861629231e-05
1991-03,0.2182366102933883,2.5238077640533447,28.389915466308597,-1.5518308877944946,-0.008158341050148,0.0045907376334071,-0.0592115821618638,-0.0381535672304883,256.0086670408704,201.61209555921727,92.75566468226808,42.37647412371479,1.3289716639250649e-05,255.10354908711767,93778.45977899256,9338.941488914435,4.785098401630016e-05
1991-04,0.2603403627872467,3.0287740230560303,28.640111923217773,-1.566098928451538,-0.0108484337106347,0.0087245814502239,-0.9523577937078648,-0.0894303078401754,267.80266255025555,231.9483968610588,185.65388768632872,92.3995155734135,5.387076058415352e-06,266.8170534442376,94096.47959107402,9338.941485645004,1.940013579910988e-05
1991-05,0.2024035453796386,3.219204902648926,28.39519500732422,-1.5523221492767334,-0.0270862132310867,0.0157083179801702,-0.7391308465969902,0.1389503708531126,278.28236819633406,274.66423872665683,229.4694888869098,158.73900440701814,1.4869092810743722e-05,277.484523447974,94172.99698712796,9338.94233662232,5.353272400379288e-05
1991-06,0.0412286557257175,2.784791946411133,25.79431533813477,-1.3976459503173828,-0.0121440282091498,-0.0115905152633786,-0.3991857808720367,-0.2070833278258537,283.73094631551726,303.277899453454,252.99015312244683,204.0346831553903,2.087689420624404e-05,284.21176808197555,94529.50353436424,9338.94557197743,7.516076861670668e-05
1991-07,0.0029191165231168,2.582363605499268,25.510522842407227,-1.3889214992523191,-0.0030544600449502,-0.0113902799785137,0.0658908902733427,-0.1451125361297904,283.9914502225405,313.4451620025079,207.8850765140041,173.57222900743497,2.908636271456765e-05,284.9578089353404,94522.46206622494,9338.985080771998,0.0001047139315531
1991-08,0.0048735267482697,2.5732951164245605,26.210289001464844,-1.4227464199066162,0.0449633561074733,-0.0257081519812345,-0.0271657692504015,-0.004655129134845,280.7992440714917,299.3816078078157,149.50600235832022,122.9200374687574,2.73840613889869e-05,281.07177780128654,94277.10161550554,9339.01614776987,9.858358971790186e-05
1991-09,0.02541309222579,2.010591983795166,26.418991088867188,-1.427027702331543,-0.0412599556148052,0.0210177171975374,-1.2719514510600929,-0.0554092461111207,277.1215054003455,286.5456648910257,90.97266038666965,73.87068745041579,1.9923862173882373e-05,276.8426110051134,94274.04268563226,9339.028383012894,7.173014255053811e-05
1991-10,0.0559895634651184,1.718497395515442,26.99515914916992,-1.4691189527511597,-0.0123568465933203,0.022777272388339,-0.0637465336883714,0.2387810753968787,265.3054910197366,238.0737167598359,39.00221009426938,23.08837170405815,1.6259509904395523e-05,263.9840440830432,94447.81150381875,9338.952009722434,5.853444986426631e-05
1991-11,0.1147366166114807,1.6978408098220823,27.51051902770996,-1.501756191253662,-0.0283717662096023,-0.0334718041121959,-0.6764829960774154,-0.7531118196748647,252.4502373840788,190.81944544165847,7.126716050213034,3.732784471798818,8.205529753518396e-06,250.13104384261536,94193.74048769416,9338.941787520343,2.954511214962576e-05
1991-12,0.1347666680812835,1.905728816986084,27.361373901367188,-1.493586778640747,-0.0043256487697362,0.0008632609969936,-0.8960287859715893,-0.276386197448481,249.40107383305465,188.26701844199093,0.8542632947778942,0.3762961886618581,1.0131953436112643e-05,247.3680249004097,93073.91605596693,9338.94147773386,3.648189071112417e-05
1992-01,0.1565878540277481,2.038539409637451,27.36441993713379,-1.4936370849609375,-0.030834924429655,-0.0022470243275165,-1.2104598016057353,-0.6421890016568443,250.65691616747424,194.57166135176843,4.198653129283897,2.0463017386618034,1.0265241455590105e-05,248.6883792681517,93361.8233025114,9338.94148582113,3.696102072063084e-05
