feature,importance
sssn,0.2654948474556661
year,0.20678873895448444
residual_lag_1,0.155183980257357
sisnthick,0.07996060808700728
vyo,0.0667884514155192
residual_lag_2,0.04734258165503199
sithick,0.03641752728503422
10v,0.023574906219380354
vxo,0.017144654799466044
ao,0.01547230960954829
tprate,0.012069801263725788
10u,0.011129293262556529
snswrf,0.010007841636852696
month_sin,0.009442792336479664
sp,0.008937514778538443
tp,0.008905601959866664
skt,0.007050979138466392
sdlwrf,0.0062015368136395955
2t,0.005989797247049734
sdswrf,0.005266580677041195
month_cos,0.0008296551472885234
