,forecast,lower_ci,upper_ci
2024-01-01,0.9906678749787181,0.8657736948109253,1.1155620551465109
2024-02-01,0.9952939125258258,0.8186670053660318,1.17192081968562
2024-03-01,0.9903300782887204,0.7740072352372205,1.2066529213402204
2024-04-01,0.9906113227659308,0.7408232515556881,1.2403993939761735
2024-05-01,0.9448519742567574,0.6655804422095708,1.224123506303944
2024-06-01,0.8056877598636752,0.4997611400591343,1.1116143796682163
2024-07-01,0.5420543130506574,0.21161580924384998,0.8724928168574648
2024-08-01,0.22638971573586197,-0.1268638941411369,0.5796433256128608
2024-09-01,0.14563170194994035,-0.22905032455277347,0.5203137284526542
2024-10-01,0.4821575913947488,0.08720806414192406,0.8771071186475735
2024-11-01,0.8795462397775525,0.46531968682581437,1.2937727927292908
2024-12-01,0.9735008007783408,0.5408552816020427,1.406146319954639
2025-01-01,0.9918321960791442,0.5353331056327325,1.4483312865255558
2025-02-01,0.9965529104598971,0.5173863992223096,1.4757194216974847
2025-03-01,0.9914874860165898,0.49067846912012747,1.4922965029130522
2025-04-01,0.9917744864645011,0.47022027325363946,1.5133286996753625
2025-05-01,0.9450786236744985,0.40357338525920783,1.486583862089789
2025-06-01,0.803066263964545,0.24231939670231883,1.3638131312267712
2025-07-01,0.5340372751281284,-0.04531251132009384,1.1133870615763506
2025-08-01,0.21191226233608418,-0.3854614071295196,0.809285931801688
2025-09-01,0.12950144894383187,-0.48536798994868646,0.7443708878363502
2025-10-01,0.47291470264538027,-0.1589662614587778,1.1047956667495384
2025-11-01,0.878436337103702,0.22998997948389066,1.5268826947235132
2025-12-01,0.9743137792422893,0.30971479893642095,1.6389127595481576
