model,rmse,mae,r2,improvement_rmse,improvement_mae
SARIMA,0.07498248115341298,0.05089044153629878,0.9275350228534402,0.0,0.0
Hybrid(lgbm),0.07690468328343864,0.05286804146525014,0.9237720708919646,-2.563534975713673,-3.8859948337072203
