time,actual,sarima_forecast,tree_residuals_pred,hybrid_forecast,sarima_error,hybrid_error
2019-01-01,0.989182141176912,0.9887346031541635,-0.0061870179984580545,0.9825475851557055,0.00044753802274855037,0.00663455602120655
2019-02-01,0.9748308292812132,0.9916310521183846,0.0020920831429799692,0.9937231352613646,-0.01680022283717142,-0.018892305980151347
2019-03-01,0.9698730405979782,0.9833185316318724,0.007619417518724797,0.9909379491505972,-0.013445491033894252,-0.021064908552619
2019-04-01,0.9792267583985969,0.9848860151721712,0.0012278011433992742,0.9861138163155705,-0.005659256773574373,-0.006887057916973638
2019-05-01,0.8503305395253729,0.9436060301412543,-0.020895237064215824,0.9227107930770385,-0.09327549061588147,-0.07238025355166566
2019-06-01,0.6567544740630255,0.8309797009869226,0.01789461918573046,0.8488743201726531,-0.1742252269238972,-0.19211984610962762
2019-07-01,0.432610969859985,0.5923350354804527,-0.04255579250064278,0.54977924297981,-0.15972406562046776,-0.11716827311982497
2019-08-01,0.1912426223339778,0.2979865980683561,-0.032149213732519916,0.26583738433583615,-0.1067439757343783,-0.07459476200185836
2019-09-01,0.1727366348997172,0.21340237259699504,-0.03922177916660518,0.17418059343038986,-0.040665737697277854,-0.0014439585306726677
2019-10-01,0.3819336900860269,0.5095361538022457,-0.011315771545898943,0.49822038225634674,-0.1276024637162188,-0.11628669217031984
2019-11-01,0.7911248182735758,0.8766832119117963,0.038997133965016605,0.9156803458768129,-0.08555839363822049,-0.12455552760323707
2019-12-01,0.9624840105012747,0.9644350786406911,0.001451593579129787,0.9658866722198209,-0.0019510681394163676,-0.003402661718546196
2020-01-01,0.9899111564612896,0.9844985903075777,0.013013125883836072,0.9975117161914138,0.005412566153711884,-0.00760055973012419
2020-02-01,0.9931613287273156,0.9886393310252163,0.003195009152508424,0.9918343401777248,0.0045219977020992674,0.0013269885495907907
2020-03-01,0.9767812552588666,0.9811725973710828,0.002154862717448469,0.9833274600885312,-0.0043913421122161456,-0.006546204829664615
2020-04-01,0.9716948730942824,0.9833094566371129,0.007772373654139823,0.9910818302912527,-0.011614583542830514,-0.019386957196970367
2020-05-01,0.955872424205574,0.9424311919815869,-0.0034787169071136023,0.9389524750744732,0.013441232223987076,0.01691994913110073
2020-06-01,0.8763465969049895,0.8301097019972399,-0.023055568672194448,0.8070541333250454,0.046236894907749626,0.06929246357994412
2020-07-01,0.6956046077076484,0.591734692822974,-0.02523829908265998,0.566496393740314,0.10386991488467445,0.1291082139673344
2020-08-01,0.3613935713310925,0.2976205727783035,-0.030697677615610517,0.26692289516269296,0.063772998552789,0.09447067616839955
2020-09-01,0.2685446859929951,0.21315014096791454,-0.027000612783065276,0.18614952818484926,0.05539454502508054,0.08239515780814582
2020-10-01,0.6826788483850321,0.5092229365015043,-0.0005010222752291463,0.5087219142262751,0.17345591188352782,0.17395693415875702
2020-11-01,0.9478857796144008,0.8762636061906757,0.003569950952148648,0.8798335571428243,0.07162217342372512,0.0680522224715765
2020-12-01,0.9812770935882116,0.9640062170315652,-0.016394555832096935,0.9476116611994683,0.017270876556646386,0.03366543238874331
2021-01-01,0.9880348639548892,0.9840788123256117,0.007932064618133162,0.9920108769437448,0.0039560516292774794,-0.003976012988855637
2021-02-01,0.9944072232155258,0.9882293811144853,0.010146875338011415,0.9983762564524967,0.006177842101040443,-0.0039690332369709536
2021-03-01,0.9912786632321052,0.980773305399805,-0.014587077718335695,0.9661862276814693,0.010505357832300222,0.025092435550635894
2021-04-01,0.9923047779998052,0.9829145682366599,0.008391886825184162,0.9913064550618441,0.009390209763145307,0.0009983229379610936
2021-05-01,0.9518123365518328,0.9420558080512249,-0.0045198339346302395,0.9375359741165946,0.00975652850060793,0.014276362435238221
2021-06-01,0.854158470460316,0.8297805713487785,0.020892054652709095,0.8506726260014875,0.024377899111537538,0.003485844458828491
2021-07-01,0.7209332696831299,0.5915002577383208,-0.004161778157291538,0.5873384795810292,0.12943301194480905,0.13359479010210062
2021-08-01,0.4484475215070647,0.2975020720476108,-0.03664114073934887,0.26086093130826193,0.15094544945945387,0.18758659019880275
2021-09-01,0.2756360270445446,0.2130653640395733,-0.03652209318055852,0.17654327085901478,0.0625706630049713,0.09909275618552982
2021-10-01,0.6753512511016476,0.5090230596917809,0.009923618865159037,0.5189466785569399,0.16632819140986677,0.15640457254470774
2021-11-01,0.8811399934283662,0.8759207575738235,0.03171478095832639,0.9076355385321498,0.005219235854542759,-0.026495545103783602
2021-12-01,0.9848780011449848,0.963629339002889,-0.01808916914895486,0.9455401698539342,0.021248662142095753,0.03933783129105062
2022-01-01,0.9916112208920328,0.9836942523898466,0.011188337752810543,0.9948825901426572,0.00791696850218615,-0.003271369250624434
2022-02-01,0.9914504149529898,0.987843305756294,0.007742531374060698,0.9955858371303546,0.0036071091966958235,-0.004135422177364845
2022-03-01,0.988421176033054,0.9803902124260241,0.0032876084560449007,0.983677820882069,0.008030963607029928,0.004743355150985007
2022-04-01,0.9943997678568908,0.9825306873379422,0.007177329634111656,0.9897080169720539,0.011869080518948527,0.004691750884836865
2022-05-01,0.9655765243780234,0.9416879130701666,0.012306896476136975,0.9539948095463036,0.0238886113078568,0.01158171483171988
2022-06-01,0.8552018531053059,0.8294565364051982,0.008108287608940463,0.8375648240141387,0.025745316700107712,0.017637029091167267
2022-07-01,0.6852424539890207,0.5912692745477177,-0.0007556017523654803,0.5905136727953523,0.09397317944130301,0.09472878119366845
2022-08-01,0.3866782887254215,0.2973858909026778,-0.022335167954325198,0.2750507229483526,0.08929239782274367,0.1116275657770689
2022-09-01,0.2802755865383981,0.21298215813472915,-0.03351959115736665,0.17946256697736251,0.06729342840366898,0.10081301956103561
2022-10-01,0.5702268433376072,0.5088243013443594,-0.01000253045889934,0.4988217708854601,0.061402541993247794,0.07140507245214711
2022-11-01,0.8615301471864905,0.8755787466775364,0.021577996047487547,0.897156742725024,-0.014048599491045977,-0.035626595538533534
2022-12-01,0.9206517746017464,0.9632530842917588,-0.015119864636160139,0.9481332196555987,-0.04260130969001241,-0.027481445053852305
