feature,importance
vyo,68
sssn,68
sisnthick,63
residual_lag_2,34
residual_lag_1,30
month_sin,29
10u,27
sp,20
10v,19
vxo,14
sithick,13
tprate,13
sdswrf,12
ao,11
sdlwrf,11
year,11
2t,5
snswrf,3
skt,1
tp,0
month_cos,0
