feature,importance
sssn,0.25155716140576845
year,0.21251659605613876
residual_lag_1,0.15619057568481223
sisnthick,0.09107044462828755
vyo,0.06848352862266227
residual_lag_2,0.04485574450917151
sithick,0.03883110033507203
10v,0.02230716469879991
ao,0.01690026650415502
vxo,0.01637018663027688
10u,0.011716876756708003
tp,0.01148706903533682
tprate,0.011325317686166833
month_sin,0.009331543523504902
snswrf,0.008959213575764458
sp,0.008030006021254334
2t,0.005597982640615077
skt,0.005109175602388996
sdlwrf,0.004991919517226178
sdswrf,0.004133236634000289
month_cos,0.0002348899318895474
